"","id","downloads","growth","date"
"1",1,312541895,1,"2015-03-01 00:00:00"
"2",2,323042150,0.967496,"2015-04-01 00:00:00"
"3",3,374114265,0.835418,"2015-05-01 00:00:00"
"4",4,431844844,0.723737,"2015-06-01 00:00:00"
"5",5,478896430,0.652629,"2015-07-01 00:00:00"
"6",6,523205910,0.597359,"2015-08-01 00:00:00"
"7",7,558445482,0.559664,"2015-09-01 00:00:00"
"8",8,551004116,0.567222,"2015-10-01 00:00:00"
"9",9,619968283,0.504126,"2015-11-01 00:00:00"
"10",10,623220449,0.501495,"2015-12-01 00:00:00"
"11",11,685097566,0.456201,"2016-01-01 00:00:00"
"12",12,747815842,0.41794,"2016-02-01 00:00:00"
"13",13,853806727,0.366057,"2016-03-01 00:00:00"
"14",14,870652761,0.358974,"2016-04-01 00:00:00"
"15",15,937918370,0.333229,"2016-05-01 00:00:00"
"16",16,1011099139,0.309111,"2016-06-01 00:00:00"
"17",17,982423618,0.318134,"2016-07-01 00:00:00"
"18",18,1093427622,0.285837,"2016-08-01 00:00:00"
"19",19,1141719423,0.273747,"2016-09-01 00:00:00"
"20",20,1192556088,0.262077,"2016-10-01 00:00:00"
"21",21,1261090905,0.247835,"2016-11-01 00:00:00"
"22",22,1164916818,0.268295,"2016-12-01 00:00:00"
"23",23,1332735160,0.234512,"2017-01-01 00:00:00"
"24",24,1394331524,0.224152,"2017-02-01 00:00:00"
"25",25,1736449770,0.179989,"2017-03-01 00:00:00"
"26",26,1593270699,0.196164,"2017-04-01 00:00:00"
"27",27,1828116657,0.170964,"2017-05-01 00:00:00"
"28",28,1935051198,0.161516,"2017-06-01 00:00:00"
"29",29,1953677706,0.159976,"2017-07-01 00:00:00"
"30",30,457392223,0.683313,"2017-08-01 00:00:00"
